x_value,total_1,total_2
0,1000,1000
1,1005,1001
2,1007,1000
3,1004,999
4,1005,1002
5,1001,1000
6,998,999
7,1006,1005
8,1008,1006
9,1002,1010
10,1005,1011
11,1009,1006
12,1006,1009
13,1012,1006
14,1015,1010
15,1021,1013
16,1026,1010
17,1020,1012
18,1015,1018
19,1012,1020
20,1016,1025
21,1018,1028
22,1016,1033
23,1024,1039
24,1023,1044
25,1028,1045
26,1023,1051
27,1025,1050
28,1025,1045
29,1021,1042
30,1015,1046
31,1011,1051
32,1010,1051
33,1012,1055
34,1006,1055
35,1005,1058
36,1008,1064
37,1006,1067
38,1006,1062
39,1005,1068
40,1011,1072
41,1017,1076
42,1021,1079
43,1018,1077
44,1016,1083
45,1016,1079
46,1014,1082
47,1016,1083
48,1019,1082
49,1018,1080
50,1012,1080
51,1014,1081
52,1021,1081
53,1025,1082
54,1022,1085
55,1018,1088
56,1016,1090
57,1023,1089
58,1025,1095
59,1023,1097
60,1021,1094
61,1017,1090
62,1015,1088
63,1021,1083
64,1029,1087
65,1027,1087
66,1033,1086
67,1038,1091
68,1038,1089
69,1040,1091
70,1047,1091
71,1051,1090
72,1050,1092
73,1055,1090
74,1051,1086
75,1051,1085
76,1057,1081
77,1055,1084
78,1062,1088
79,1062,1090
80,1066,1092
81,1062,1096
82,1068,1097
83,1064,1093
84,1069,1092
85,1077,1094
86,1080,1095
87,1082,1101
88,1086,1106
89,1090,1107
90,1087,1106
91,1095,1112
92,1103,1111
93,1097,1106
94,1104,1111
95,1102,1106
96,1103,1102
97,1098,1102
98,1097,1099
99,1095,1094
100,1098,1096
101,1094,1096
102,1088,1100
103,1092,1097
104,1089,1094
105,1089,1091
106,1086,1088
107,1093,1087
108,1101,1086
109,1107,1086
110,1107,1085
111,1111,1090
112,1105,1091
113,1107,1096
114,1115,1091
115,1120,1088
116,1125,1094
117,1129,1097
118,1133,1097
119,1129,1095
120,1123,1099
121,1124,1095
122,1125,1098
123,1123,1095
124,1130,1093
125,1126,1097
126,1126,1099
127,1133,1097
128,1127,1102
129,1128,1100
130,1134,1097
131,1137,1095
132,1141,1095
133,1135,1092
134,1132,1090
135,1131,1091
136,1134,1087
137,1128,1086
138,1132,1092
139,1135,1091
140,1143,1095
141,1138,1099
142,1136,1096
143,1137,1100
144,1141,1105
145,1138,1108
146,1138,1103
147,1139,1106
148,1141,1105
149,1142,1102
150,1146,1099
151,1144,1095
152,1144,1096
153,1138,1094
154,1141,1092
155,1142,1092
156,1139,1093
157,1141,1093
158,1142,1099
159,1141,1099
160,1135,1102
161,1136,1108
162,1140,1108
163,1143,1103
164,1137,1102
165,1144,1102
166,1148,1097
167,1149,1095
168,1147,1093
169,1150,1099
170,1145,1095
171,1153,1094
